artist_key,partners,shared_songs_total,community
Artist_Arik_Einstien,74,297,1
Artist_Yehoram_Gaon,67,208,2
Artist_Ofra_Haza,61,197,2
Artist_Zehava_Ben,63,194,0
Artist_Shoshana_Damari,48,181,2
Artist_Yaffa_yarkoni,50,161,2
Artist_Hava_Alberstien,56,145,1
Artist_Zohar_Argov,50,137,0
Artist_Ishay_Levi,58,115,0
Artist_Sarit_Hadad,56,115,2
Artist_Ester_Ofarim,46,113,2
Artist_Yoni_Rechter,22,112,1
Artist_Gidi_Gov,51,88,1
Artist_Boaz_Sharabi,41,88,2
Artist_Arik_lavi,41,82,2
Artist_Yigal_Bashan,38,73,2
Artist_Ilanit,34,70,2
Artist_Shimi_Tavori,36,66,0
Artist_Yardena_Arazi,37,66,2
Artist_Uzi_Hitman,31,63,2
Artist_Yehudit_Ravitz,42,63,1
Artist_Mati_Kaspi,33,62,1
Artist_Arik_Sinai,28,60,2
Artist_Cheil_HaYam,38,56,2
Artist_Pikud_Merkaz,33,55,2
Artist_Nurit_Galron,31,54,1
Artist_Chaim_Moshe,27,53,0
Artist_Shalom_Chanoch,33,52,1
Artist_Ninet,32,50,0
Artist_hahinoam_nini,32,48,1
Artist_Rita,33,48,0
Artist_Harel_Sqat,32,47,3
Artist_Lehakat_HaNachal,26,47,2
Artist_Avi_Toledano,27,46,2
Artist_Rami_Klaeinstien,34,43,0
Artist_Eyal_Golan,21,41,0
Artist_Geula_Gil,26,40,2
Artist_Yossi_Banai,26,39,1
Artist_Gali_Atari,32,39,1
Artist_Arkadi_Duchin,29,38,1
Artist_Moshe_Peretz,31,38,0
Artist_Agam_Buhbut,34,37,0
Artist_Lior_Narkis,28,37,0
Artist_Sabliminal,4,34,4
Artist_Shlomo_Artzi,28,34,3
Artist_Shlomi_Shabat,31,33,0
Artist_haTzel,4,33,4
Artist_Omer_Adam,28,32,0
Artist_Shiri_Maimon,27,32,2
Artist_Dudu_Aharon,27,31,0
Artist_Shimon_Buskila,10,31,0
Artist_Ran_Eliran,23,29,2
Artist_Pikud_tzafon,16,28,2
Artist_Rivka_zohar,16,28,0
Artist_Yehuda_Poliker,17,27,3
Artist_Oshik_levy,20,25,1
Artist_Meir_Ariel,20,24,1
Artist_Stefan,19,24,0
Artist_Yoav_Yitzchaki,18,24,0
Artist_Si_Heiman,16,24,1
Artist_Nasrin_Kadri,22,23,0
Artist_HaTarnegolim,14,23,1
Artist_Amir_Benayoun,20,23,1
Artist_Muki,22,22,0
Artist_HaYehudim,21,22,2
Artist_Eden_Ben_Zaken,20,22,0
Artist_Marina_Maximillian_Blumin,21,21,1
Artist_Harel_Moyal,20,21,3
Artist_David_Broza,18,21,1
Artist_Noa_Kirel,17,20,0
Artist_Static_and_ben_el_tavori,18,20,0
Artist_Keren_Peles,18,20,3
Artist_Tipex,18,20,2
Artist_Kaveret,9,19,1
Artist_Ofer_levi,17,19,0
Artist_Ricki_Gal,14,19,2
Artist_Miri_Mesika,17,19,2
Artist_Avner_Gadasi,13,19,0
Artist_Tzvika_pick,16,19,0
Artist_Jonatan_Murgi,17,19,0
Artist_Tzliley_HaKerem,14,19,0
Artist_Jasmin_Moallem,18,18,0
Artist_Aviv_Geffen,14,18,1
Artist_Anna_Zak,17,18,0
Artist_Beri_Saharof,17,18,1
Artist_Eliad_Nachum,17,18,0
Artist_Dana_International,12,17,0
Artist_Shokolad_Menta_Mastik,13,17,2
Artist_Diana_Golbi,15,17,1
Artist_Shlomo_Gronich,13,17,1
Artist_Kobi_Peretz,11,16,0
Artist_Itay_Levi,11,15,0
Artist_Dafna_Armoni,14,15,1
Artist_Meir_Banai,14,15,1
Artist_Chemi_Rudner,11,14,1
Artist_Eti_Ankari,14,14,2
Artist_Asaf_Amdurski,14,14,1
Artist_Ariel_Zilber,13,14,1
Artist_Ivri_Leader,13,13,1
Artist_Margalit_Tzanani,12,13,2
Artist_High_five,12,12,3
Artist_Mosh_Ben_Ari,12,12,1
Artist_Ehud_banai,12,12,1
Artist_Machina,12,12,2
Artist_HaChalonot_HaGvoim,9,12,1
Artist_Meni_Beger,11,11,1
Artist_Etinix,10,11,0
Artist_Dudu_Tasa,9,11,0
Artist_Avi_Bitter,6,10,0
Artist_Benzin,5,10,3
Artist_Ania_buckshtien,10,10,2
Artist_Adam,10,10,1
Artist_Elai_Botner,7,9,0
Artist_Evyatar_Banai,9,9,1
Artist_Idan_Amadi,8,8,3
Artist_Tislam,6,8,1
Artist_Rona_Kenan,7,7,1
Artist_Shlomi_Shaban,6,7,1
Artist_Sinergia,6,7,0
Artist_Idan_Raiechel,6,6,3
Artist_Cheil_Avir,6,6,3
Artist_Avraham_tal,6,6,3
Artist_Hadag_nahash,6,6,1
Artist_Daniel_Salomon,5,5,0
Artist_Amir_Dadon,5,5,3
Artist_Yizar_Ashdot,3,5,1
Artist_Dani_Robas,5,5,1
Artist_Tuna,5,5,0
Artist_Hatikve_Shesh,5,5,1
Artist_Ahuva_uzeri,4,5,0
Artist_Pikud_Darom,4,4,1
Artist_Knesiyat_HaSechel,4,4,0
Artist_Dikla,4,4,3
Artist_Kobi_Aflalo,2,3,0
Artist_Pablo_Rosenberg,3,3,3
Artist_Gabi_Shoshan,3,3,3
Artist_Nissim_Sarusi,3,3,3
Artist_Idan_Haviv,2,2,0
Artist_Dor_Daniel,2,2,3
Artist_Sherry,2,2,0
Artist_Peer_Tasi,2,2,0
Artist_David_Levi,2,2,1
Artist_Alexansra,1,2,1
Artist_Dani_Sanderson,1,2,1
Artist_Beit_Ha_Bubot,1,1,1
Artist_HaSmachot,1,1,1
Artist_Ishay_Ribo,1,1,3
Artist_Roni_Duani,1,1,4
Artist_Benaya_Barabi,1,1,3
Artist_Gilad_Segev,1,1,2
Artist_Monica_Sex,1,1,3
Artist_Maya_Buskila,1,1,0
Artist_Shabak_Samech,1,1,0
Artist_Rami_fortis,1,1,1
Artist_Doron_Mazar,1,1,2
